subject,site_id,site_name,timepoint,volume_csf,volume_tissue,volume_lesion,adc_rate_mean_tissue,adc_rate_mean_csf,adc_rate_mean_lesion,t2_rate_mean_tissue,t2_rate_mean_csf,t2_rate_mean_lesion,adc_qa_snr,t2_qa_snr
FR4503,UT,UTexas,early,27.12487823,398.1724225,13.50337661,8.69E-04,0.002492098,7.80E-04,20.41920138,8.622769474,15.07804144,10.60204837,14.93484122
FR4504,UT,UTexas,early,39.77437974,1013.006371,121.9421395,0.001114747,0.00238127,5.79E-04,24.57004075,10.98778573,11.98641663,13.76964289,18.55044083
FR4508,UT,UTexas,early,50.51025602,1177.01789,176.029896,0.001211565,0.002401623,5.35E-04,23.97429414,10.63123887,12.08268943,10.59056963,13.30946537
FR4510,UT,UTexas,early,34.02337906,399.6911726,14.55975174,8.33E-04,0.002674701,7.25E-04,21.12302639,7.859269027,14.80058609,8.50750247,13.21177498
KX0361,UT,UTexas,early,8.616376027,462.3514301,0,8.76E-04,0.002507771,NA,17.8530367,9.601166715,NA,7.430088908,10.22614201
KX0361,UT,UTexas,late,9.007876074,410.869174,0,8.42E-04,0.002229401,NA,20.99729884,10.25509323,NA,10.37995954,14.16651223
KX0379,UT,UTexas,early,23.12212776,406.1070484,0,8.76E-04,0.002334391,NA,20.50823404,9.310581422,NA,10.82531343,15.25451558
QC3331,UT,UTexas,early,9.750376162,407.8890486,0,8.80E-04,0.00246959,NA,18.40414511,9.721972068,NA,8.290307716,11.56876452
QC3333,UT,UTexas,early,7.5498759,363.1837933,61.60050734,9.02E-04,0.002527403,7.22E-04,18.06776934,9.822068177,10.27441002,8.842511486,12.5469172
QC3333,UT,UTexas,late,14.38087671,409.0027988,0,8.57E-04,0.002431334,NA,21.12917893,9.200516335,NA,11.39599712,15.2023241
QC3335,UT,UTexas,early,32.7408789,1190.021767,70.59825842,0.001183033,0.002543078,6.92E-04,24.19732887,10.72073572,12.67153435,11.79822835,15.1338517
